Galaxy ID,Ks,ae,n,epsilon,stellar_mass,z,R.A.,Dec.,Spec.
12012493,18.68,1.38,5.92,0,12.95,1.18,214.360245,52.561184,0
12012509,17.75,0.48,3.65,0.49,32.3,1.21,214.364853,52.552612,1
12012563,17.82,0.47,6.51,0.43,19.12,0.99,214.417786,52.542973,1
12012575,18.33,0.42,5.84,0.48,20.86,1.2,214.404266,52.530739,0
12012673,17.73,0.43,4.51,0.78,28.06,0.99,214.308945,52.528854,0
12012736,18.18,0.21,3.52,0.21,16.14,0.98,214.234512,52.511955,1
12012814,17.88,0.53,4.19,0.29,21.42,0.91,214.298035,52.522385,0
12012857,17.93,0.8,0.54,0.16,14.49,0.84,214.303543,52.527065,1
12012898,16.89,0.43,2.4,0.13,44.78,0.83,214.306747,52.537186,1
12015370,19,0.86,2.75,0.6,22.57,1.65,214.622803,52.608334,0
12015433,17.99,0.44,2.96,0.62,19.32,0.95,214.653259,52.574265,0
12015535,18.22,0.32,4.82,0.08,18.94,1.04,214.662186,52.609283,1
12015586,18.28,0.53,1.04,0.42,13.81,1.06,214.642822,52.596066,0
12015604,18.06,0.26,4.87,0.29,14.34,0.93,214.643295,52.575615,1
12015673,17.36,2.09,2.47,0.7,25.78,0.91,214.639786,52.616432,0
12015676,18.11,0.85,0.51,0.32,11.07,0.99,214.616776,52.612793,1
12015684,18.6,0.43,0.34,0.23,21.49,1.37,214.675232,52.605644,1
12015686,17.75,1.23,1,0.3,13.73,0.9,214.665359,52.602631,0
12015703,18.25,0.11,4.58,0.37,16.14,1.04,214.649399,52.583614,1
12015752,18.86,0.96,6.23,0.7,21.98,1.57,214.524399,52.620636,0
12015764,18.86,0.12,4.83,0.1,10.99,1.07,214.565216,52.586243,0
12015779,19.38,0.37,2.09,0.2,22.96,1.81,214.52092,52.606018,0
12015791,19.27,0.12,1.74,0.11,12.43,1.68,214.555481,52.588348,0
12015792,18.62,0.98,0.29,0.51,12.73,1.23,214.582184,52.58773,1
12015842,18.75,0.74,1.09,0.41,17.84,1.27,214.5858,52.617817,0
12016045,17.64,1.14,2.48,0.45,15.41,0.83,214.609558,52.58963,1
12016133,17.81,0.71,2.86,0.28,13.05,0.82,214.490265,52.603291,1
12016191,19.02,0.3,0.1,0.78,18.11,1.74,214.513138,52.573956,0
12016200,18.81,0.38,2.69,0.7,15.29,1.21,214.467239,52.617237,0
12016233,18.31,0.4,1.96,0.73,10.7,0.83,214.477356,52.583397,0
12016236,18.47,0.28,4.56,0.26,15.73,1.06,214.504044,52.577236,0
12016260,18.61,0.68,2.32,0.31,15.6,1.19,214.473297,52.617535,0
12016330,18.66,0.34,1.23,0.29,10.03,1.04,214.430603,52.601898,1
12016362,18.19,0.52,4.13,0.34,12.92,0.95,214.477554,52.577316,1
12016364,18.2,0.74,1.26,0.2,14.61,1,214.464554,52.574646,1
12016370,17.37,0.42,6.61,0.32,35.45,1,214.449783,52.622219,1
12016493,18.92,0.16,2.31,0.54,12.54,1.21,214.349442,52.569527,0
12016523,17.97,1.09,2.2,0.34,25.02,1.16,214.392456,52.577374,0
12016582,18.48,0.8,0.7,0.62,34.8,1.54,214.408264,52.600197,0
12016608,19.29,0.11,7.85,0.41,12.82,1.64,214.383392,52.574238,0
12016612,17.92,0.46,4.3,0.72,24.03,1,214.415298,52.57,1
12016746,18.51,1.07,0.66,0.76,10.87,0.89,214.390015,52.622658,0
12016934,18.76,0.83,1.71,0.25,20.31,1.32,214.314407,52.584034,0
12019322,18.82,1.35,0.95,0.81,14.75,1.16,214.730011,52.681042,0
12019388,18.7,0.73,0.76,0.42,28.16,1.31,214.709076,52.631886,0
12019421,19.55,0.12,3.74,0.44,10.54,1.79,214.747711,52.660057,0
12019515,19.55,1.44,1,0.4,10.87,1.68,214.738113,52.669674,0
12019543,17.67,0.13,4.91,0.4,30.46,1.26,214.72673,52.672016,1
12019573,18.17,0.01,3.63,0.89,26.65,1.02,214.734741,52.630627,0
12019617,17.55,0.46,1.61,0.57,21.53,0.82,214.724091,52.64476,1
12019671,17.69,0.78,0.91,0.62,18.55,0.82,214.729187,52.646217,0
12019674,17.89,1.1,1.96,0.5,17.62,0.98,214.733917,52.645329,1
12019681,18.12,0.17,4.67,0.17,10.4,0.82,214.73793,52.640003,1
12019899,17.75,0.11,6.33,0.69,21.96,0.93,214.685059,52.637196,1
12019954,17.77,1.21,0.94,0.56,25.69,0.91,214.68573,52.639076,0
12019982,18.18,0.88,1.34,0.28,13.4,1.01,214.695358,52.663086,0
12020031,17.42,1.57,2.34,0.3,21.29,0.82,214.671478,52.659412,1
12020040,18.53,1.24,0.61,0.66,18.03,1.23,214.664948,52.652233,0
12020074,18,0.33,5.03,0.21,15.76,1.15,214.675323,52.625889,0
12020087,19.02,0.24,4.74,0.48,15.75,1.45,214.592789,52.627445,0
